item,class_id,class_name,th,default_name,obj_type,obj_mane,output_Measurement
Factory Information,3,Factory 1,4864,FAC1 DeviceType,RegisterObj,String_Register,
Factory Information,3,Factory 1,4865,FAC1 Compliance,RegisterObj,String_Register,
Factory Information,3,Factory 1,4866,FAC1 Options,RegisterObj,String_Register,
Factory Information,3,Factory 1,4867,FAC1 Revision,RegisterObj,String_Register,
Factory Information,3,Factory 1,4868,FAC1 SerialNum,RegisterObj,String_Register,
Factory Information,3,Factory 1,30510,FAC1 ION Version,RegisterObj,NumericVariable_Register,
Factory Information,3,Factory 1,4989,FAC1 Template,RegisterObj,String_Register,
Factory Information,3,Factory 1,65600,FAC1 Form Factor,RegisterObj,String_Register,
Factory Information,3,Factory 1,65601,FAC1 Location ID,RegisterObj,String_Register,
Power Meters,256,Power Meter,30720,PM1 Volts Mode,EnumObj,Enumerated_Register,
Power Meters,256,Power Meter,65537,CT Multiplier,RegisterObj,NumericVariable_Register,
Power Meters,256,Power Meter,65538,PT Multiplier,RegisterObj,NumericVariable_Register,
Clocks,5504,Clock,23420,CL1 UnivTime,RegisterObj,NumericVariable_Register,
Clocks,5504,Clock,23421,CL1 LocalTime,RegisterObj,NumericVariable_Register,
Breaker Status,176163072,Relay Modules,176163073,Relay Module R1 Status,BoolObj,Boolean_Register,
Breaker Status,176163072,Relay Modules,176163074,Relay Module R2 Status,BoolObj,Boolean_Register,
Breaker Status,176163072,Relay Modules,176163075,Relay Module R3 Status,BoolObj,Boolean_Register,
Breaker Status,176163072,Relay Modules,176163076,Relay Module R4 Status,BoolObj,Boolean_Register,
Breaker Status,176163072,Relay Modules,176163077,Relay Module R5 Status,BoolObj,Boolean_Register,
Breaker Status,176163072,Relay Modules,176163078,Relay Module R6 Status,BoolObj,Boolean_Register,
Breaker Status,176161280,Breaker,176161281,Breaker Status,BoolObj,Boolean_Register,
Breaker Status,176161280,Breaker,176161282,Breaker Trip Status,BoolObj,Boolean_Register,
Breaker Status,176161280,Breaker,176161283,Device drawn position - in,BoolObj,Boolean_Register,
Breaker Status,176161280,Breaker,176161284,Device drawn position - out,BoolObj,Boolean_Register,
Breaker Status,176161280,Breaker,176161285,Device drawn position - test,BoolObj,Boolean_Register,
Breaker Status,176161280,Breaker,176161286,Device drawn position - in between,BoolObj,Boolean_Register,
Breaker Status,176161280,Breaker,176161287,Operations Counter - Lifetime,RegisterObj,NumericVariable_Register,
Current,164626432,Phase Current,164626433,Current A,RegisterObj,NumericVariable_Register,
Current,164626432,Phase Current,164626434,Current B,RegisterObj,NumericVariable_Register,
Current,164626432,Phase Current,164626435,Current C,RegisterObj,NumericVariable_Register,
Current,164626432,Phase Current,164626436,Current N,RegisterObj,NumericVariable_Register,
Current,164626432,Phase Current,164626439,Current Avg,RegisterObj,NumericVariable_Register,
Current,164626432,Phase Current,164626437,Current E,RegisterObj,NumericVariable_Register,
Current,164626432,Phase Current,164626438,Current Apparent RMS,RegisterObj,NumericVariable_Register,
Current,164626432,Phase Current,164626440,Current E Leakage,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627457,Current A High,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627458,Current A Low,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627459,Current A Mean,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627460,Current B High,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627461,Current B Low,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627462,Current B Mean,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627463,Current C High,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627464,Current C Low,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627465,Current C Mean,RegisterObj,NumericVariable_Register,
Current,164627456,Current HiLoMean,164627466,Current Avg High,RegisterObj,NumericVariable_Register,
