item,class_id,class_name,max_index
Factory Information,3,Factory 1,65601
Power Meters,256,Power Meter,65538
Clocks,5504,Clock,23421
Breaker Status,176163072,Relay Modules,176163078
Breaker Status,176161280,Breaker,176161287
Current,164626432,Phase Current,164626440
Current,164627456,Current HiLoMean,164627468
Current,164626944,Demand Current,164626949
Current,164627712,Peak Demand Current,164627717
Demand,166723584,Demand Power,166723604
Demand,166724608,Peak Demand Power,166724620
Energy,169869312,Directional Energy,169869322
Frequency,206569728,Frequency Readings,206569733
Generic IO,207618304,Digital Input,207618320
Generic IO,207618560,Digital Output,207618576
Generic IO,207619072,Analog Input,207619082
Power,190840832,Phase Power,190840844
Power,190841344,Power HiLoMean,190841353
Power Factor,186646528,Phase Power Factor,186646541
Power Factor,186647040,Power Factor HiLoMean,186647046
Unbalance,198180864,Current Unbalance,198180870
Unbalance,198181120,Voltage Unbalance,198181134
Voltage,201326592,Voltage L-L,201326596
Voltage,201327104,Voltage L-N,201327109
Voltage,201327872,Voltage HiLoMean,201327885
Voltage,201327360,Demand Voltage,201327366
Power Quality,211812608,PQI,211812617
Power Quality,211813120,Crest Factor,211813130
Power Quality,211813632,K-Factor,211813642
Harmonics,208666880,THD,208666909
Harmonics,208667392,Fundamentals,208667410
Harmonics,208667904,Harmonic Voltage,208667952
Harmonics,208668416,Harmonic Current,208668448
Environmental,205521152,Ambient Temperature,205521160
Environmental,205521664,Temperature,205521674
Environmental,205522176,Degree Days,205522182
Environmental,205522688,Weather,205522703
Environmental,205523200,Environmental Other,205523210
WAGES - Water,213909760,Water,213909776
WAGES - Water,213910272,Heat Flow,213910319
WAGES - Water,213910784,Mass,213910808
WAGES - Water,213911296,Pressure,213911331
WAGES - Water,213911808,Temperature,213911842
WAGES - Water,213912320,Volume,213912470
WAGES - Air,214958336,Heat Flow,214958375
WAGES - Air,214959360,Pressure,214959375
WAGES - Air,214959872,Temperature,214959900
WAGES - Air,214960384,Velocity,214960390
WAGES - Air,214960896,Volume,214960932
WAGES - Air,214961408,Compressed,214961416
WAGES - Air,214961920,Misc,214961928
WAGES - Gas,216006912,Energy Flow,216006956
WAGES - Gas,216007424,Volume,216007463
WAGES - Gas,216007936,Pressure,216007951
WAGES - Gas,216008448,Temperature,216008452
WAGES - Electric,217055488,Consumption,217055521
WAGES - Electric,217056000,Consumption Rate,217056017
WAGES - Electric,217056512,Consumption Delta,217056545
WAGES - Steam,218104064,Heat Flow,218104103
WAGES - Steam,218104576,Mass,218104599
WAGES - Steam,218105088,Pressure,218105099
WAGES - Steam,218105600,Temperature,218105610
WAGES - Steam,218106112,Volume,218106130
WAGES - WasteWater,219152640,Mass,219152664
WAGES - WasteWater,219153152,Volume,219153190
Miscellaneous,220201216,State,220201221
Miscellaneous,220201728,Misc,220201735
Maximum,209715456,Current,209715464
Maximum,209716480,Power Factor,209716486
Maximum,209716992,Power,209717004
Maximum,209717504,Voltage,209717524
Maximum,209718016,Unbalance,209718025
Maximum,209718528,Harmonics,209718555
Maximum,209715712,Power Quality,209715728
Maximum,209716736,WAGES - Water,209716823
Maximum,209717760,WAGES - Air,209717786
Maximum,209718784,WAGES - Gas,209718808
Maximum,209719296,WAGES - Electric,209719314
Maximum,209719808,WAGES - Steam,209719819
Maximum,209720320,WAGES - WasteWater,209720338
Minimum,210764032,Current,210764039
Minimum,210764544,Power Factor,210764550
Minimum,210765056,Power,210765068
Minimum,210765568,Voltage,210765581
Minimum,210766080,Unbalance,210766097
Minimum,210766592,Harmonics,210766622
Minimum,210767104,Power Quality,210767120
Minimum,210767616,WAGES - Water,210767703
Minimum,210768128,WAGES - Air,210768154
Minimum,210768640,WAGES - Gas,210768664
Minimum,210769152,WAGES - Electric,210769170
Minimum,210769664,WAGES - Steam,210769690
Minimum,210770176,WAGES - WasteWater,210770194
Timestamp,212861184,Last,212861192
Timestamp,212862208,Max,212862260
Timestamp,212862720,Min,212862764
Alarms,203424000,Common Alarms,203424020
Cost,204472576,Energy Cost,204472593
